ObservationDate,sum(Confirmed),sum(Deaths),sum(Recovered),Country
2021-03,277309,3030,272786,Nepal
2021-04,323187,3279,281095,Nepal
2021-05,553422,7163,434750,Nepal
2020-02,11,0,0,Austria
2020-03,10180,128,1095,Austria
2020-04,15452,584,12907,Austria
2020-05,16731,668,15593,Austria
2020-06,17766,705,16478,Austria
2020-07,21130,718,18758,Austria
2020-08,27438,733,23226,Austria
2020-09,44813,799,35644,Austria
2020-10,104925,1109,67226,Austria
2020-11,282456,3184,221692,Austria
2020-12,360815,6222,332952,Austria
2021-01,414398,7721,392497,Austria
2021-02,459440,8561,430415,Austria
2021-03,546229,9339,501116,Austria
2021-04,618870,10205,584777,Austria
2021-05,644207,10592,627672,Austria
2020-02,1,0,1,Egypt
2020-03,710,46,157,Egypt
2020-04,5537,392,1381,Egypt
2020-05,24985,959,6037,Egypt
2020-06,68311,2953,18460,Egypt
2020-07,94078,4805,39638,Egypt
2020-08,98939,5421,72929,Egypt
2020-09,103198,5930,96494,Egypt
2020-10,107555,6266,99452,Egypt
2020-11,115911,6650,102718,Egypt
2020-12,138062,7631,112105,Egypt
2021-01,165951,9316,129636,Egypt
2021-02,182424,10688,140892,Egypt
2021-03,202131,11995,154694,Egypt
2021-04,227552,13339,170773,Egypt
2021-05,260659,15001,191475,Egypt
2020-03,347,2,4,Costa Rica
2020-04,719,6,338,Costa Rica
2020-05,1056,10,669,Costa Rica
2020-06,3459,16,1436,Costa Rica
2020-07,17820,150,4404,Costa Rica
2020-08,41287,436,16056,Costa Rica
2020-09,75760,904,37841,Costa Rica
2020-10,109971,1385,66719,Costa Rica
2020-11,139638,1726,87526,Costa Rica
2020-12,169321,2185,131923,Costa Rica
2021-01,193276,2604,151952,Costa Rica
2021-02,204341,2800,177099,Costa Rica
2021-03,216764,2957,192699,Costa Rica
2021-04,250991,3231,203009,Costa Rica
2021-05,314102,3962,242019,Costa Rica
2020-03,343,2,24,Kazakhstan
2020-04,3402,25,866,Kazakhstan
2020-05,10858,40,5404,Kazakhstan
2020-06,22308,188,13558,Kazakhstan
2020-07,90367,793,60825,Kazakhstan
2020-08,130673,1781,101553,Kazakhstan
2020-09,140707,2078,129902,Kazakhstan
2020-10,149699,2226,135110,Kazakhstan
2020-11,174563,2433,147425,Kazakhstan
2020-12,201196,2761,175558,Kazakhstan
2021-01,235844,3046,204668,Kazakhstan
2021-02,262715,3162,238982,Kazakhstan
2021-03,297472,3232,268564,Kazakhstan
2021-04,375539,3334,328532,Kazakhstan
2021-05,438715,3442,402272,Kazakhstan
2020-03,32,1,0,El Salvador
2020-04,395,10,119,El Salvador
2020-05,2517,46,1040,El Salvador
2020-06,6438,174,3770,El Salvador
2020-07,16632,448,8362,El Salvador
2020-08,25729,717,14292,El Salvador
2020-09,29077,843,23813,El Salvador
2020-10,33826,975,29186,El Salvador
2020-11,38941,1114,35078,El Salvador
2020-12,46242,1327,45960,El Salvador
2021-01,54966,1623,48711,El Salvador
2021-02,60181,1854,55312,El Salvador
2021-03,64726,2006,61640,El Salvador
2021-04,69198,2124,64876,El Salvador
2021-05,73246,2241,68408,El Salvador
2020-03,900,16,15,Serbia
2020-04,9009,179,1343,Serbia
2020-05,11412,243,6698,Serbia
2020-06,14564,277,12662,Serbia
2020-07,25552,573,15564,Serbia
2020-08,31406,713,0,Serbia
2020-09,33551,749,0,Serbia
2020-10,46954,820,0,Serbia
2020-11,175438,1604,0,Serbia
2020-12,337923,3211,0,Serbia
2021-01,395263,4020,0,Serbia
2021-02,459259,4443,0,Serbia
2021-03,600596,5308,0,Serbia
2021-04,689557,6362,0,Serbia
2021-05,712046,6844,0,Serbia
2020-03,1353,5,31,South Africa
2020-04,5647,103,2073,South Africa
2020-05,32683,683,16809,South Africa
2020-06,151209,2657,73543,South Africa
2020-07,493183,8005,326171,South Africa
2020-08,627041,14149,540923,South Africa
2020-09,674339,16734,608112,South Africa
2020-10,725452,19276,654182,South Africa
2020-11,790004,21535,731242,South Africa
2020-12,1057161,28469,879671,South Africa
2021-01,1453761,44164,1299620,South Africa
2021-02,1513393,49993,1430259,South Africa
2021-03,1548157,52846,1474319,South Africa
2021-04,1581210,54350,1505620,South Africa
2021-05,1659070,56363,1554184,South Africa
2020-03,261,14,32,Burkina Faso
2020-04,645,43,506,Burkina Faso
2020-05,847,53,720,Burkina Faso
2020-06,962,53,838,Burkina Faso
2020-07,1106,53,935,Burkina Faso
2020-08,1368,55,1058,Burkina Faso
2020-09,2056,58,1335,Burkina Faso
2020-10,2500,67,2250,Burkina Faso
2020-11,2886,68,2593,Burkina Faso
2020-12,6707,85,5100,Burkina Faso
2021-01,10682,120,9253,Burkina Faso
2021-02,11982,142,11493,Burkina Faso
2021-03,12717,146,12385,Burkina Faso
2021-04,13310,157,13043,Burkina Faso
2021-05,13430,166,13248,Burkina Faso
2020-02,41,0,0,Bahrain
2020-03,567,4,295,Bahrain
2020-04,3040,8,1500,Bahrain
2020-05,11398,19,6673,Bahrain
2020-06,26758,87,21331,Bahrain
2020-07,40982,147,37840,Bahrain
2020-08,51972,190,49047,Bahrain
2020-09,70864,251,64838,Bahrain
2020-10,81645,321,78719,Bahrain
2020-11,86956,341,85141,Bahrain
2020-12,92675,352,90217,Bahrain
2021-01,103057,375,98599,Bahrain
2021-02,122394,449,115089,Bahrain
2021-03,144445,521,135315,Bahrain
2021-04,176934,646,165928,Bahrain
2021-05,235698,939,205962,Bahrain
2021-01,1,0,1,Micronesia
2021-02,1,0,1,Micronesia
2021-03,1,0,1,Micronesia
2021-04,1,0,1,Micronesia
2021-05,1,0,1,Micronesia
2020-01,0,0,0,Colombia
2020-03,906,16,31,Colombia
2020-04,6507,293,1439,Colombia
2020-05,52084,1724,13237,Colombia
2020-06,96243,3377,40026,Colombia
2020-07,295660,10107,154387,Colombia
2020-08,615094,19662,459460,Colombia
2020-09,829679,25999,743653,Colombia
2020-10,1073809,31807,979097,Colombia
2020-11,1527800,37062,1218725,Colombia
2020-12,1642775,43408,1508420,Colombia
2021-01,2108490,54364,1954032,Colombia
2021-02,2251690,59908,2148249,Colombia
2021-03,2410048,63544,2289784,Colombia
2021-04,2876101,74046,2682199,Colombia
2021-05,3363061,87990,3141550,Colombia
2020-03,492,16,37,Hungary
2020-04,2775,312,581,Hungary
2020-05,3876,526,2147,Hungary
2020-06,4155,585,2692,Hungary
2020-07,4505,596,3353,Hungary
2020-08,6139,615,3761,Hungary
2020-09,26461,765,5890,Hungary
2020-10,75321,1750,19032,Hungary
2020-11,217122,4823,63860,Hungary
2020-12,322514,9537,150102,Hungary
2021-01,367586,12524,262968,Hungary
2021-02,428599,14974,321128,Hungary
2021-03,652433,20737,406935,Hungary
2021-04,779348,27540,510379,Hungary
2021-05,804032,29709,692248,Hungary
2020-02,4,0,0,Pakistan
2020-03,1938,26,76,Pakistan
2020-04,16817,385,4315,Pakistan
2020-05,69496,1483,25271,Pakistan
2020-06,327172,6650,137110,Pakistan
2020-07,278305,5951,247177,Pakistan
2020-08,295849,6294,280682,Pakistan
2020-09,312806,6484,297497,Pakistan
2020-10,333970,6823,314555,Pakistan
2020-11,400482,8091,343286,Pakistan
2020-12,482178,10176,437229,Pakistan
2021-01,546428,11684,501252,Pakistan
2021-02,581365,12896,546371,Pakistan
2021-03,672931,14531,605274,Pakistan
2021-04,825519,17957,717009,Pakistan
2021-05,918936,20736,839322,Pakistan
2020-03,6,0,0,Vatican City
2020-04,11,0,2,Vatican City
2020-05,12,0,2,Vatican City
2020-06,12,0,12,Vatican City
2020-07,12,0,12,Vatican City
2020-08,12,0,12,Vatican City
2020-09,12,0,12,Vatican City
2020-10,27,0,15,Vatican City
2020-11,27,0,15,Vatican City
2020-12,27,0,15,Vatican City
2021-01,27,0,15,Vatican City
2021-02,27,0,15,Vatican City
2021-03,27,0,15,Vatican City
2021-04,27,0,15,Vatican City
2021-05,27,0,27,Vatican City
2020-11,1,0,0,Vanuatu
2020-12,1,0,1,Vanuatu
2021-01,1,0,1,Vanuatu
2021-02,1,0,1,Vanuatu
2021-03,3,0,1,Vanuatu
2021-04,4,1,3,Vanuatu
2021-05,4,1,3,Vanuatu
2020-03,143,5,0,Mauritius
2020-04,334,10,310,Mauritius
2020-05,335,10,322,Mauritius
2020-06,341,10,326,Mauritius
2020-07,344,10,332,Mauritius
2020-08,356,10,335,Mauritius
2020-09,381,10,344,Mauritius
2020-10,441,10,398,Mauritius
2020-11,504,10,456,Mauritius
2020-12,527,10,496,Mauritius
2021-01,569,10,528,Mauritius
2021-02,610,10,571,Mauritius
2021-03,1028,12,643,Mauritius
2021-04,1209,17,1084,Mauritius
2021-05,1363,17,1183,Mauritius
2020-03,353,4,18,Moldova
2020-04,3897,116,1182,Moldova
2020-05,8251,295,4581,Moldova
2020-06,16613,545,9382,Moldova
2020-07,24733,778,17269,Moldova
2020-08,36920,995,25872,Moldova
2020-09,53042,1320,38997,Moldova
2020-10,76040,1785,55782,Moldova
2020-11,107364,2304,95354,Moldova
2020-12,144818,2985,130643,Moldova
2021-01,159804,3438,150090,Moldova
2021-02,185453,3949,166178,Moldova
2021-03,230241,4960,207852,Moldova
2021-04,250837,5812,239914,Moldova
2021-05,255105,6100,247349,Moldova
2020-01,9783,213,214,Mainland China
2020-02,79251,2835,39279,Mainland China
2020-03,81525,3305,76062,Mainland China
2020-04,82874,4633,78461,Mainland China
2020-05,83017,4634,78307,Mainland China
2020-06,83539,4634,78485,Mainland China
2020-07,84337,4634,78990,Mainland China
2020-08,85058,4634,80207,Mainland China
2020-09,85412,4634,80587,Mainland China
2020-10,85997,4634,81000,Mainland China
2020-11,86542,4634,81627,Mainland China
2020-12,87071,4634,82064,Mainland China
2021-01,89564,4636,83310,Mainland China
2021-02,89913,4636,85069,Mainland China
2021-03,90219,4636,85411,Mainland China
2021-04,90672,4636,85713,Mainland China
2021-05,91074,4636,86124,Mainland China
2020-01,2,0,0,Vietnam
2020-02,16,0,16,Vietnam
2020-03,212,0,58,Vietnam
2020-04,270,0,225,Vietnam
2020-05,328,0,279,Vietnam
2020-06,355,0,335,Vietnam
2020-07,558,3,373,Vietnam
2020-08,1044,34,707,Vietnam
2020-09,1094,35,1010,Vietnam
2020-10,1180,35,1062,Vietnam
2020-11,1347,35,1179,Vietnam
2020-12,1465,35,1325,Vietnam
2021-01,1817,35,1457,Vietnam
2021-02,2448,35,1876,Vietnam
2021-03,2603,35,2359,Vietnam
2021-04,2928,35,2516,Vietnam
2021-05,6908,47,2896,Vietnam
2020-02,6,0,0,Netherlands
2020-03,16298,1176,255,Netherlands
2020-04,39512,4811,375,Netherlands
2020-05,46645,5975,178,Netherlands
2020-06,50483,6132,186,Netherlands
2020-07,106104,12305,200,Netherlands
2020-08,73232,6252,1010,Netherlands
2020-09,131843,6476,4019,Netherlands
2020-10,357640,7459,5882,Netherlands
2020-11,531938,9454,6947,Netherlands
2020-12,808382,11525,9585,Netherlands
2021-01,994278,14132,12910,Netherlands
2021-02,1103564,15689,14416,Netherlands
2021-03,1292806,16689,16209,Netherlands
2021-04,1522973,17398,25632,Netherlands
2021-05,1671977,17889,26810,Netherlands
2020-03,712,10,603,Diamond Princess
2020-04,712,13,645,Diamond Princess
2020-05,712,13,651,Diamond Princess
2020-06,712,13,651,Diamond Princess
2020-07,712,13,651,Diamond Princess
2020-08,712,13,651,Diamond Princess
2020-09,712,13,651,Diamond Princess
2020-10,712,13,659,Diamond Princess
2020-11,712,13,659,Diamond Princess
2020-12,712,13,699,Diamond Princess
2021-01,712,13,699,Diamond Princess
2021-02,712,13,699,Diamond Princess
2021-03,712,13,699,Diamond Princess
2021-04,712,13,699,Diamond Princess
2021-05,712,13,699,Diamond Princess
2020-03,28,2,0,Mali
2020-04,490,26,135,Mali
2020-05,1265,77,716,Mali
2020-06,2181,116,1474,Mali
2020-07,2535,124,1937,Mali
2020-08,2776,126,2169,Mali
2020-09,3118,131,2453,Mali
2020-10,3554,136,2753,Mali
2020-11,4710,156,3206,Mali
2020-12,7090,269,4650,Mali
2021-01,8091,330,5945,Mali
2021-02,8376,353,6402,Mali
2021-03,10042,385,6830,Mali
2021-04,13858,484,8560,Mali
2021-05,14265,517,9690,Mali
